Log Name,Source,Date,Event ID,Task,Level,Opcode,Keyword,User,User Name,Computer,Description
27,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:03.874,15,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Hive \SystemRoot\System32\Config\SOFTWARE was reorganized with a starting size of 63545344 bytes and an ending size of 63746048 bytes.
28,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:03.913,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \SystemRoot\System32\Config\DEFAULT was cleared updating 7 keys and creating 2 modified pages.
29,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:08.748,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\Users\Default\NTUSER.DAT was cleared updating 47 keys and creating 13 modified pages.
30,System,Microsoft-Windows-Wininit,2017-06-22T09:39:12.617,14,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"Credential Guard (LsaIso.exe) configuration: 0x0, 0"
31,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:12.664,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \SystemRoot\System32\Config\SECURITY was cleared updating 1 keys and creating 1 modified pages.
32,System,Microsoft-Windows-Directory-Services-SAM,2017-06-22T09:39:12.786,16962,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
33,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:12.788,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \SystemRoot\System32\Config\SAM was cleared updating 1 keys and creating 1 modified pages.
34,System,Service,2017-06-22T09:39:13.827,7040,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,The start type of the WlanSvc service was changed from demand start to auto start.
35,System,Microsoft-Windows-WLAN-AutoConfig,2017-06-22T09:39:14.438,4000,N/A,Information,Start,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,WLAN AutoConfig service has successfully started.
36,System,Microsoft-Windows-SetupPlatform,2017-06-22T09:39:27.499,2005,Install,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,New Setup information
37,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:28.903,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \SystemRoot\System32\Config\BBI was cleared updating 1 keys and creating 1 modified pages.
38,System,Microsoft-Windows-FilterManager,2017-06-22T09:39:28.928,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'wcifs' (10.0, ?2088?-?07?-?28T22:04:59.000000000Z) has successfully loaded and registered with Filter Manager."
39,System,Microsoft-Windows-FilterManager,2017-06-22T09:39:28.955,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'luafv' (10.0, ?2037?-?06?-?08T04:55:59.000000000Z) has successfully loaded and registered with Filter Manager."
40,System,Service,2017-06-22T09:39:28.952,7000,N/A,Error,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The CldFlt service failed to start due to the following error:
41,System,Microsoft-Windows-FilterManager,2017-06-22T09:39:28.961,6,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,"File System Filter 'storqosflt' (10.0, ?2015?-?12?-?17T22:36:27.000000000Z) has successfully loaded and registered with Filter Manager."
42,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:39:29.146,50036,Service,Information,ServiceStart,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 client service is started
43,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:39:29.146,50103,Service,Information,ServiceShutdown,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 client registered for shutdown notification
44,System,Microsoft-Windows-DHCPv6-Client,2017-06-22T09:39:29.155,51046,Service,Information,ServiceStart,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv6 client service is started
45,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:29.612,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\WINDOWS\AppCompat\Programs\Amcache.hve was cleared updating 0 keys and creating 0 modified pages.
46,System,Service,2017-06-22T09:39:29.640,7023,N/A,Error,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The iphlpsvc service terminated with the following error:
47,System,Service,2017-06-22T09:39:32.249,7026,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The following boot-start or system-start driver(s) did not load:
48,System,Service,2017-06-22T09:39:33.109,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
49,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:33.112,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service HdAudAddService for Device Instance ID HDAUDIO\FUNC_01&VEN_10EC&DEV_0892&SUBSYS_1462D693&REV_1003\4&7752DFF&0&0001 with the following status: 0.
50,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:33.306,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver hdaudio.inf_amd64_bafd539d04140276\hdaudio.inf for Device Instance ID HDAUDIO\FUNC_01&VEN_10EC&DEV_0892&SUBSYS_1462D693&REV_1003\4&7752DFF&0&0001 with the following status: 0x0.
51,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:33.468,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service Serial for Device Instance ID ACPI\PNP0501\1 with the following status: 0.
52,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:33.471,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service Serenum for Device Instance ID ACPI\PNP0501\1 with the following status: 0.
53,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:33.499,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver msports.inf_amd64_05d977a8d9cb7c99\msports.inf for Device Instance ID ACPI\PNP0501\1 with the following status: 0x0.
54,System,Service,2017-06-22T09:39:45.312,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
55,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:45.315,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service nvlddmkm for Device Instance ID PCI\VEN_10DE&DEV_11C0&SUBSYS_28771462&REV_A1\4&DE2C59F&0&0010 with the following status: 0.
56,System,Service,2017-06-22T09:39:47.503,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
57,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:53.333,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver nv_ref_pubwu.inf_amd64_f9309145156afb40\nv_ref_pubwu.inf for Device Instance ID PCI\VEN_10DE&DEV_11C0&SUBSYS_28771462&REV_A1\4&DE2C59F&0&0010 with the following status: 0x0.
58,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:53.529,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver smbusamd.inf_amd64_a1f6e32f30c39b3d\smbusamd.inf for Device Instance ID PCI\VEN_1002&DEV_4385&SUBSYS_76931462&REV_42\3&11583659&0&A0 with the following status: 0x0.
59,System,Service,2017-06-22T09:39:54.050,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
60,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:54.056,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service NVHDA for Device Instance ID HDAUDIO\FUNC_01&VEN_10DE&DEV_0041&SUBSYS_14622877&REV_1001\5&227B64AB&0&0001 with the following status: 0.
61,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:54.539,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver nvhda.inf_amd64_179715376f3cae4c\nvhda.inf for Device Instance ID HDAUDIO\FUNC_01&VEN_10DE&DEV_0041&SUBSYS_14622877&REV_1001\5&227B64AB&0&0001 with the following status: 0x0.
62,System,Service,2017-06-22T09:39:54.894,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
63,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.043,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver rt640x64.inf_amd64_98de0ddb0966f29b\rt640x64.inf for Device Instance ID PCI\VEN_10EC&DEV_8168&SUBSYS_76931462&REV_06\4&2DDBB3B7&0&00A8 with the following status: 0x0.
64,System,Service,2017-06-22T09:39:55.191,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
65,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.199,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service MSPCLOCK for Device Instance ID SW\{97EBAACC-95BD-11D0-A3EA-00A0C9223196}\{53172480-4791-11D0-A5D6-28DB04C10000} with the following status: 0.
66,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.222,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver ksfilter.inf_amd64_08c08773131a73d4\ksfilter.inf for Device Instance ID SW\{97EBAACC-95BD-11D0-A3EA-00A0C9223196}\{53172480-4791-11D0-A5D6-28DB04C10000} with the following status: 0x0.
67,System,Service,2017-06-22T09:39:55.237,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
68,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.247,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service MSPQM for Device Instance ID SW\{DDF4358E-BB2C-11D0-A42F-00A0C9223196}\{97EBAACB-95BD-11D0-A3EA-00A0C9223196} with the following status: 0.
69,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.270,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver ksfilter.inf_amd64_08c08773131a73d4\ksfilter.inf for Device Instance ID SW\{DDF4358E-BB2C-11D0-A42F-00A0C9223196}\{97EBAACB-95BD-11D0-A3EA-00A0C9223196} with the following status: 0x0.
70,System,Service,2017-06-22T09:39:55.347,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
71,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.358,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service MSKSSRV for Device Instance ID SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196} with the following status: 0.
72,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.382,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver ksfilter.inf_amd64_08c08773131a73d4\ksfilter.inf for Device Instance ID SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196} with the following status: 0x0.
73,System,Service,2017-06-22T09:39:55.394,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
74,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.407,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service MSTEE for Device Instance ID SW\{CFD669F1-9BC2-11D0-8299-0000F822FE8A}\{CF1DDA2C-9743-11D0-A3EE-00A0C9223196} with the following status: 0.
75,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.491,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver ksfilter.inf_amd64_08c08773131a73d4\ksfilter.inf for Device Instance ID SW\{CFD669F1-9BC2-11D0-8299-0000F822FE8A}\{CF1DDA2C-9743-11D0-A3EE-00A0C9223196} with the following status: 0x0.
76,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.516,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service MSTEE for Device Instance ID SW\{CFD669F1-9BC2-11D0-8299-0000F822FE8A}\{0A4252A0-7E70-11D0-A5D6-28DB04C10000} with the following status: 0.
77,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.589,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver ksfilter.inf_amd64_08c08773131a73d4\ksfilter.inf for Device Instance ID SW\{CFD669F1-9BC2-11D0-8299-0000F822FE8A}\{0A4252A0-7E70-11D0-A5D6-28DB04C10000} with the following status: 0x0.
78,System,Service,2017-06-22T09:39:55.612,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
79,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.620,20003,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management has concluded the process to add Service drmkaud for Device Instance ID SW\{EEC12DB6-AD9C-4168-8658-B03DAEF417FE}\{ABD61E00-9350-47E2-A632-4438B90C6641} with the following status: 0.
80,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.650,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver wdmaudio.inf_amd64_b51edb2b9055d904\wdmaudio.inf for Device Instance ID SW\{EEC12DB6-AD9C-4168-8658-B03DAEF417FE}\{ABD61E00-9350-47E2-A632-4438B90C6641} with the following status: 0x0.
81,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.671,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver amdiov.inf_amd64_8baee52fbf99d558\amdiov.inf for Device Instance ID PCI\VEN_1002&DEV_5A23&SUBSYS_76931462&REV_00\3&11583659&0&02 with the following status: 0x0.
82,System,Service,2017-06-22T09:39:55.800,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
